Int,Treatment,Carbon,Concentration,Rep,Strain,CO2Accum,Expt
10,LOM,Casamino Acids,4 uM-C,C,Community,58.217,1
10,composite,Casamino Acids,4 uM-C,A,Community,92.735,1
10,composite,Casamino Acids,4 uM-C,B,Community,97.199,1
10,composite,Casamino Acids,4 uM-C,C,Community,92.005,1
10,PRI,Casamino Acids,4 uM-C,A,Community,123.872,1
10,PRI,Casamino Acids,4 uM-C,B,Community,128.014,1
10,PRI,Casamino Acids,4 uM-C,C,Community,130.942,1
10,LOM,Casamino Acids,1 uM-C,A,Community,62.454,1
10,LOM,Casamino Acids,1 uM-C,B,Community,63.244,1
10,LOM,Casamino Acids,1 uM-C,C,Community,62.244,1
10,composite,Casamino Acids,1 uM-C,A,Community,97.011,1
10,composite,Casamino Acids,1 uM-C,B,Community,96.9,1
10,composite,Casamino Acids,1 uM-C,C,Community,96.032,1
10,PRI,Casamino Acids,1 uM-C,A,Community,94.225,1
10,PRI,Casamino Acids,1 uM-C,B,Community,96.318,1
10,PRI,Casamino Acids,1 uM-C,C,Community,105.754,1
11,ABM,Control_low,0 uM-C,A,Community,18.228,1
11,ABM,Control_low,0 uM-C,B,Community,8.79,1
11,ABM,Control_low,0 uM-C,C,Community,13.398,1
11,NOM,Control_low,0 uM-C,A,Community,37.959,1
11,NOM,Control_low,0 uM-C,B,Community,37.737,1
11,NOM,Control_low,0 uM-C,C,Community,38.089,1
11,LOM,Casamino Acids,40 uM-C,A,Community,100.597,1
11,LOM,Casamino Acids,40 uM-C,B,Community,110.063,1
11,LOM,Casamino Acids,40 uM-C,C,Community,112.813,1
11,composite,Casamino Acids,40 uM-C,A,Community,138.556,1
11,composite,Casamino Acids,40 uM-C,B,Community,147.8,1
11,composite,Casamino Acids,40 uM-C,C,Community,150.902,1
11,PRI,Casamino Acids,40 uM-C,A,Community,134.129,1
11,PRI,Casamino Acids,40 uM-C,B,Community,139.341,1
11,PRI,Casamino Acids,40 uM-C,C,Community,137.256,1
11,LOM,Casamino Acids,4 uM-C,A,Community,73.877,1
11,LOM,Casamino Acids,4 uM-C,B,Community,80.199,1
11,LOM,Casamino Acids,4 uM-C,C,Community,70.001,1
11,composite,Casamino Acids,4 uM-C,A,Community,111.836,1
11,composite,Casamino Acids,4 uM-C,B,Community,117.936,1
11,composite,Casamino Acids,4 uM-C,C,Community,108.09,1
11,PRI,Casamino Acids,4 uM-C,A,Community,150.201,1
11,PRI,Casamino Acids,4 uM-C,B,Community,153.208,1
11,PRI,Casamino Acids,4 uM-C,C,Community,156.911,1
11,LOM,Casamino Acids,1 uM-C,A,Community,69.73,1
11,LOM,Casamino Acids,1 uM-C,B,Community,68.619,1
11,LOM,Casamino Acids,1 uM-C,C,Community,69.232,1
11,composite,Casamino Acids,1 uM-C,A,Community,107.689,1
11,composite,Casamino Acids,1 uM-C,B,Community,106.356,1
11,composite,Casamino Acids,1 uM-C,C,Community,107.321,1
11,PRI,Casamino Acids,1 uM-C,A,Community,104.778,1
11,PRI,Casamino Acids,1 uM-C,B,Community,107.997,1
11,PRI,Casamino Acids,1 uM-C,C,Community,117.608,1
12,ABM,Control_low,0 uM-C,A,Community,22.407,1
12,ABM,Control_low,0 uM-C,B,Community,12.128,1
12,ABM,Control_low,0 uM-C,C,Community,16.389,1
12,NOM,Control_low,0 uM-C,A,Community,43.143,1
12,NOM,Control_low,0 uM-C,B,Community,42.086,1
12,NOM,Control_low,0 uM-C,C,Community,42.67,1
12,LOM,Casamino Acids,40 uM-C,A,Community,122.93,1
12,LOM,Casamino Acids,40 uM-C,B,Community,132.389,1
12,LOM,Casamino Acids,40 uM-C,C,Community,135.71,1
12,composite,Casamino Acids,40 uM-C,A,Community,166.073,1
12,composite,Casamino Acids,40 uM-C,B,Community,174.475,1
12,composite,Casamino Acids,40 uM-C,C,Community,178.38,1
12,PRI,Casamino Acids,40 uM-C,A,Community,146.896,1
12,PRI,Casamino Acids,40 uM-C,B,Community,154.203,1
12,PRI,Casamino Acids,40 uM-C,C,Community,149.91,1
12,LOM,Casamino Acids,4 uM-C,A,Community,89.874,1
12,LOM,Casamino Acids,4 uM-C,B,Community,96.612,1
12,LOM,Casamino Acids,4 uM-C,C,Community,84.976,1
12,composite,Casamino Acids,4 uM-C,A,Community,133.017,1
12,composite,Casamino Acids,4 uM-C,B,Community,138.698,1
12,composite,Casamino Acids,4 uM-C,C,Community,127.646,1
12,PRI,Casamino Acids,4 uM-C,A,Community,176.117,1
12,PRI,Casamino Acids,4 uM-C,B,Community,178.554,1
12,PRI,Casamino Acids,4 uM-C,C,Community,183.441,1
12,LOM,Casamino Acids,1 uM-C,A,Community,74.106,1
12,LOM,Casamino Acids,1 uM-C,B,Community,74.915,1
12,LOM,Casamino Acids,1 uM-C,C,Community,76.408,1
12,composite,Casamino Acids,1 uM-C,A,Community,117.249,1
12,composite,Casamino Acids,1 uM-C,B,Community,117.001,1
12,composite,Casamino Acids,1 uM-C,C,Community,119.078,1
12,PRI,Casamino Acids,1 uM-C,A,Community,114.538,1
12,PRI,Casamino Acids,1 uM-C,B,Community,118.47,1
12,PRI,Casamino Acids,1 uM-C,C,Community,130.041,1
13,ABM,Control_low,0 uM-C,A,Community,25.991,1
