Day,Concentration,Treatment,Rep,Count,Carbon
10,40 uM-C,LOM,B,700000,Casamino Acids
10,40 uM-C,LOM,C,1500000,Casamino Acids
10,40 uM-C,LOM,D,900000,Casamino Acids
10,40 uM-C,LOM,E,1000000,Casamino Acids
10,40 uM-C,NOM,A,660000,Casamino Acids
10,40 uM-C,NOM,B,430000,Casamino Acids
10,40 uM-C,NOM,C,740000,Casamino Acids
10,40 uM-C,NOM,D,470000,Casamino Acids
10,40 uM-C,NOM,E,680000,Casamino Acids
10,40 uM-C,composite,A,1860000,Casamino Acids
10,40 uM-C,composite,B,1130000,Casamino Acids
10,40 uM-C,composite,C,2240000,Casamino Acids
10,40 uM-C,composite,D,1370000,Casamino Acids
10,40 uM-C,composite,E,1680000,Casamino Acids
10,40 uM-C,PRI,A,1700000,Casamino Acids
10,40 uM-C,PRI,B,1400000,Casamino Acids
10,40 uM-C,PRI,C,1500000,Casamino Acids
10,40 uM-C,PRI,D,1200000,Casamino Acids
10,40 uM-C,PRI,E,1900000,Casamino Acids
10,400 uM-C,ABM,A,440000,Casamino Acids
10,400 uM-C,ABM,B,800000,Casamino Acids
10,400 uM-C,ABM,C,1070000,Casamino Acids
10,400 uM-C,ABM,D,850000,Casamino Acids
10,400 uM-C,ABM,E,1110000,Casamino Acids
10,400 uM-C,LOM,A,1500000,Casamino Acids
10,400 uM-C,LOM,B,4600000,Casamino Acids
10,400 uM-C,LOM,C,2400000,Casamino Acids
10,400 uM-C,LOM,D,2500000,Casamino Acids
10,400 uM-C,LOM,E,3300000,Casamino Acids
10,400 uM-C,NOM,A,660000,Casamino Acids
10,400 uM-C,NOM,B,430000,Casamino Acids
10,400 uM-C,NOM,C,740000,Casamino Acids
10,400 uM-C,NOM,D,470000,Casamino Acids
10,400 uM-C,NOM,E,680000,Casamino Acids
10,400 uM-C,composite,A,2160000,Casamino Acids
10,400 uM-C,composite,B,5030000,Casamino Acids
10,400 uM-C,composite,C,3140000,Casamino Acids
10,400 uM-C,composite,D,2970000,Casamino Acids
10,400 uM-C,composite,E,3980000,Casamino Acids
10,400 uM-C,PRI,A,7600000,Casamino Acids
10,400 uM-C,PRI,B,3900000,Casamino Acids
10,400 uM-C,PRI,C,6000000,Casamino Acids
10,400 uM-C,PRI,D,4300000,Casamino Acids
10,400 uM-C,PRI,E,6500000,Casamino Acids
14,4 uM-C,ABM,A,150000,Casamino Acids
14,4 uM-C,ABM,B,230000,Casamino Acids
14,4 uM-C,ABM,C,150000,Casamino Acids
14,4 uM-C,ABM,D,130000,Casamino Acids
14,4 uM-C,ABM,E,270000,Casamino Acids
14,4 uM-C,LOM,A,210000,Casamino Acids
14,4 uM-C,LOM,B,450000,Casamino Acids
14,4 uM-C,LOM,C,400000,Casamino Acids
14,4 uM-C,LOM,D,890000,Casamino Acids
14,4 uM-C,LOM,E,160000,Casamino Acids
14,4 uM-C,NOM,A,790000,Casamino Acids
14,4 uM-C,NOM,B,110000,Casamino Acids
14,4 uM-C,NOM,C,260000,Casamino Acids
14,4 uM-C,NOM,D,520000,Casamino Acids
14,4 uM-C,NOM,E,370000,Casamino Acids
14,4 uM-C,composite,A,1000000,Casamino Acids
14,4 uM-C,composite,B,560000,Casamino Acids
14,4 uM-C,composite,C,660000,Casamino Acids
14,4 uM-C,composite,D,1410000,Casamino Acids
14,4 uM-C,composite,E,530000,Casamino Acids
14,4 uM-C,PRI,A,100000,Casamino Acids
14,4 uM-C,PRI,B,1000000,Casamino Acids
14,4 uM-C,PRI,C,500000,Casamino Acids
14,4 uM-C,PRI,D,600000,Casamino Acids
14,4 uM-C,PRI,E,500000,Casamino Acids
14,40 uM-C,ABM,A,150000,Casamino Acids
14,40 uM-C,ABM,B,230000,Casamino Acids
14,40 uM-C,ABM,C,150000,Casamino Acids
14,40 uM-C,ABM,D,130000,Casamino Acids
14,40 uM-C,ABM,E,270000,Casamino Acids
14,40 uM-C,LOM,A,180000,Casamino Acids
14,40 uM-C,LOM,B,330000,Casamino Acids
14,40 uM-C,LOM,C,280000,Casamino Acids
14,40 uM-C,LOM,D,210000,Casamino Acids
14,40 uM-C,LOM,E,380000,Casamino Acids
14,40 uM-C,NOM,A,790000,Casamino Acids
14,40 uM-C,NOM,B,110000,Casamino Acids
14,40 uM-C,NOM,C,260000,Casamino Acids
14,40 uM-C,NOM,D,520000,Casamino Acids
14,40 uM-C,NOM,E,370000,Casamino Acids
14,40 uM-C,composite,A,970000,Casamino Acids
14,40 uM-C,composite,B,440000,Casamino Acids
14,40 uM-C,composite,C,540000,Casamino Acids
14,40 uM-C,composite,D,730000,Casamino Acids
14,40 uM-C,composite,E,750000,Casamino Acids
14,40 uM-C,PRI,A,500000,Casamino Acids
14,40 uM-C,PRI,B,1500000,Casamino Acids
14,40 uM-C,PRI,C,900000,Casamino Acids
14,40 uM-C,PRI,D,1400000,Casamino Acids
14,40 uM-C,PRI,E,3300000,Casamino Acids
14,400 uM-C,ABM,A,150000,Casamino Acids
14,400 uM-C,ABM,B,230000,Casamino Acids
14,400 uM-C,ABM,C,150000,Casamino Acids
14,400 uM-C,ABM,D,130000,Casamino Acids
14,400 uM-C,ABM,E,270000,Casamino Acids
14,400 uM-C,LOM,A,500000,Casamino Acids
14,400 uM-C,LOM,B,2200000,Casamino Acids
14,400 uM-C,LOM,C,1400000,Casamino Acids
14,400 uM-C,LOM,D,1100000,Casamino Acids
14,400 uM-C,LOM,E,3200000,Casamino Acids
14,400 uM-C,NOM,A,790000,Casamino Acids
14,400 uM-C,NOM,B,110000,Casamino Acids
14,400 uM-C,NOM,C,260000,Casamino Acids
14,400 uM-C,NOM,D,520000,Casamino Acids
14,400 uM-C,NOM,E,370000,Casamino Acids
14,400 uM-C,composite,A,1290000,Casamino Acids
14,400 uM-C,composite,B,2310000,Casamino Acids
14,400 uM-C,composite,C,1660000,Casamino Acids
14,400 uM-C,composite,D,1620000,Casamino Acids
14,400 uM-C,composite,E,3570000,Casamino Acids
14,400 uM-C,PRI,A,2400000,Casamino Acids
14,400 uM-C,PRI,B,4400000,Casamino Acids
14,400 uM-C,PRI,C,1200000,Casamino Acids
14,400 uM-C,PRI,D,5100000,Casamino Acids
14,400 uM-C,PRI,E,6700000,Casamino Acids
0,4 uM-C,ABM,A,12800,Tryptone
0,4 uM-C,ABM,B,14700,Tryptone
0,4 uM-C,ABM,C,13300,Tryptone
0,4 uM-C,ABM,D,18300,Tryptone
0,4 uM-C,ABM,E,14200,Tryptone
0,4 uM-C,LOM,A,14300,Tryptone
0,4 uM-C,LOM,B,10800,Tryptone
0,4 uM-C,LOM,C,12800,Tryptone
0,4 uM-C,LOM,D,11400,Tryptone
0,4 uM-C,LOM,E,12100,Tryptone
0,4 uM-C,NOM,A,8800,Tryptone
0,4 uM-C,NOM,B,11500,Tryptone
